"","caseid","child_id","age_child","mother_id","first_born","sex_child","child_residence","child_alive","marital_status","union_status","num_union_status","age_cohabitation","first_sex","edu_level_mother","num_trips","owner_house","wealth_index","type_residence","traveled_12","partners_education","currently_working","literacy","current_age_respondent","type_dejure_residence","age_first_sex","worked_12_temp","worked_12","child_foster"
"1","074980  2","01",15,"0749802",0,1,0,1,2,1,1,18,18,2,0,2,5,1,0,2,0,2,44,1,18,1,0,0
"2","074976  1","01",11,"0749761",0,2,0,1,2,1,1,23,25,1,2,0,2,1,0,1,1,2,42,1,25,2,1,0
"3","074938  2","01",3,"0749382",0,1,0,1,2,1,2,21,97,3,0,3,4,1,0,1,1,2,36,1,NA,2,1,0
"4","074963  1","01",3,"0749631",1,2,0,1,2,1,2,20,20,2,3,0,3,1,0,2,0,2,26,1,20,1,0,0
"5","0749 8  1","01",4,"074981",0,1,0,1,5,2,2,12,12,2,0,1,2,1,0,3,1,2,24,1,12,2,1,0
"6","074960  2","01",8,"0749602",0,2,0,1,2,1,2,16,14,1,0,1,2,1,0,8,0,2,48,1,14,1,0,0
"7","074960  3","01",1,"0749603",1,1,0,1,5,2,1,17,16,3,0,0,2,1,0,3,1,2,22,1,16,2,1,0
"8","074960  4","01",1,"0749604",1,2,0,1,5,2,1,18,17,1,0,0,2,1,0,2,0,2,20,1,17,1,0,0
"9","158896  1","01",1,"1588961",0,2,0,1,2,1,1,17,17,1,0,2,2,1,0,1,1,2,37,1,17,2,1,0
"10","158845  1","01",7,"1588451",0,1,0,1,2,1,2,21,19,1,0,3,3,1,0,1,0,2,44,1,19,1,0,0
"11","158847  2","01",1,"1588472",0,2,0,1,1,1,1,19,14,1,0,0,1,1,0,2,1,0,35,1,14,2,1,0
"12","158816  2","01",5,"1588162",0,2,0,1,1,1,2,17,14,2,1,0,4,1,0,2,0,2,34,1,14,0,0,0
"13","158878  1","01",1,"1588781",0,1,0,1,5,2,1,10,11,2,0,0,1,1,0,2,0,2,23,1,11,1,0,0
"14","158884  2","01",2,"1588842",0,1,4,1,5,2,NA,19,15,1,0,2,2,1,0,1,0,2,33,1,15,0,0,1
"15","158833  1","01",11,"1588331",0,1,0,1,3,2,1,19,16,1,0,1,1,1,0,0,0,2,43,1,16,0,0,0
"16","1588 6  2","01",1,"158862",0,1,0,1,2,1,2,16,16,1,0,0,1,1,0,2,1,2,23,1,16,2,1,0
"17","1588 9  2","01",1,"158892",0,2,0,1,2,1,1,22,20,3,3,0,5,1,0,1,0,2,30,1,20,1,0,0
"18","158877  2","01",9,"1588772",1,2,4,1,1,1,2,22,23,3,2,0,3,1,0,1,1,2,33,1,23,2,1,1
"19","158886  2","01",0,"1588862",0,2,4,1,2,1,2,15,15,1,2,0,1,1,0,2,0,1,20,1,15,0,0,1
"20","158859  2","01",2,"1588592",0,1,0,1,2,1,1,17,17,1,1,0,1,1,0,2,1,2,32,1,17,2,1,0
"21","158842  2","01",5,"1588422",0,1,0,1,2,1,1,19,19,2,0,0,2,1,0,2,0,2,28,1,19,0,0,0
"22","158835  2","01",7,"1588352",0,1,0,1,2,1,1,26,26,3,1,0,4,1,0,1,1,2,37,1,26,2,1,0
"23","028827  2","01",0,"0288272",0,1,0,1,1,1,2,19,16,3,0,0,5,1,0,3,1,2,34,1,16,2,1,0
"24","028812  1","01",15,"0288121",1,1,0,1,5,2,1,27,25,3,0,1,4,1,0,1,1,2,46,1,25,2,1,0
"25","028830  1","01",10,"0288301",0,1,0,1,5,2,2,27,27,2,0,1,3,1,0,2,1,2,46,1,27,2,1,0
"26","028849  3","01",10,"0288493",0,1,0,1,1,1,2,14,14,2,0,0,4,1,0,2,1,2,43,1,14,3,1,0
"27","026163  2","01",6,"0261632",1,2,0,1,2,1,1,26,21,3,1,2,5,1,0,3,1,2,34,1,21,2,1,0
"28","026115  2","01",8,"0261152",0,1,0,1,2,1,1,17,17,2,1,0,4,1,0,1,0,2,31,1,17,1,0,0
"29","0261 1  2","01",0,"026112",0,1,0,1,2,1,2,15,15,1,1,0,3,1,0,1,1,0,32,1,15,2,1,0
"30","0261 9  2","01",3,"026192",0,2,0,1,2,1,2,26,22,2,2,1,3,1,1,0,1,2,37,1,22,2,1,0
"31","026170  4","01",2,"0261704",0,2,0,1,1,1,2,21,19,3,0,0,5,1,0,2,1,2,34,1,19,2,1,0
"32","026145  2","01",6,"0261452",0,1,0,1,2,1,1,16,17,2,0,0,3,1,0,1,1,2,39,1,17,2,1,0
"33","026189  3","01",14,"0261893",0,2,0,1,5,2,1,16,16,2,0,0,4,1,0,0,1,2,37,1,16,2,1,0
"34","026151  2","01",3,"0261512",0,2,0,1,1,1,1,30,18,3,5,0,5,1,0,3,0,2,36,1,18,0,0,0
"35","026172  1","01",2,"0261721",0,2,0,1,0,0,NA,NA,19,2,3,0,4,1,0,NA,1,2,43,1,19,2,1,0
"36","288534  1","01",15,"2885341",1,1,0,1,5,2,1,22,20,3,3,0,5,1,1,3,1,2,38,1,20,2,1,0
"37","288516  2","01",2,"2885162",1,2,0,1,1,1,1,23,17,3,10,0,5,1,1,3,1,2,33,1,17,2,1,0
"38","288594  2","01",8,"2885942",0,2,0,1,1,1,1,27,19,3,20,2,5,1,0,3,1,2,41,1,19,2,1,0
"39","027534  2","01",13,"0275342",0,2,0,1,1,1,1,26,27,3,4,3,5,1,0,3,1,2,46,1,27,2,1,0
"40","027561  2","01",1,"0275612",0,1,0,1,2,1,2,19,19,2,4,0,5,1,0,1,0,2,31,1,19,0,0,0
"41","027579  2","01",5,"0275792",1,2,0,1,1,1,1,23,18,3,0,2,5,1,0,3,1,2,33,1,18,2,1,0
"42","181189  6","01",11,"1811896",0,2,4,1,5,2,2,13,12,1,0,1,5,1,0,1,1,0,40,1,12,2,1,1
"43","181157  3","01",11,"1811573",0,1,4,1,5,2,1,16,16,2,1,0,5,1,0,1,1,2,30,1,16,2,1,1
"44","1811 6  1","01",5,"181161",0,2,4,1,3,2,1,18,18,3,0,0,5,1,1,3,0,2,41,7,18,0,0,1
"45","226884  1","01",14,"2268841",1,2,0,1,5,2,1,19,19,2,1,0,5,1,0,2,0,2,47,1,19,0,0,0
"46","306714  1","01",3,"3067141",0,1,0,1,5,2,1,17,16,3,5,0,5,1,0,3,1,2,27,1,16,2,1,0
"47","306729  2","01",6,"3067292",1,1,0,1,5,2,1,31,28,3,2,1,5,1,0,2,1,2,41,7,28,2,1,0
"48","306757  1","01",3,"3067571",0,1,0,1,5,2,1,23,23,3,5,0,5,1,1,3,1,2,37,1,23,2,1,0
"49","306777  1","01",12,"3067771",0,2,0,1,1,1,1,30,26,3,1,0,4,1,0,3,0,2,49,1,26,0,0,0
"50","306790  2","01",11,"3067902",0,2,0,1,1,1,2,20,18,2,1,0,5,1,0,3,1,2,47,1,18,2,1,0
"51","094691  1","01",13,"0946911",1,2,0,1,5,2,1,33,31,3,0,0,4,1,0,3,0,2,47,1,31,0,0,0
"52","094662  2","01",5,"0946622",0,1,0,1,1,1,1,21,20,3,2,2,5,1,0,3,1,2,36,1,20,2,1,0
"53","0946 8  2","01",0,"094682",0,1,0,1,2,1,1,19,17,3,0,2,4,1,0,3,1,2,29,1,17,3,1,0
"54","094677  2","01",1,"0946772",0,2,0,1,1,1,1,32,17,3,3,0,5,1,0,3,1,2,35,1,17,2,1,0
"55","1328 7  2","01",7,"132872",0,1,0,1,1,1,1,30,28,3,6,0,5,1,0,3,1,2,42,1,28,2,1,0
"56","132828  1","01",10,"1328281",1,2,0,1,4,2,1,25,18,3,1,2,5,1,0,2,1,2,36,1,18,2,1,0
"57","132875  1","01",9,"1328751",0,1,0,1,4,2,2,29,28,3,0,1,5,1,1,3,1,2,42,1,28,2,1,0
"58","132889  2","01",6,"1328892",0,1,0,1,2,1,1,20,18,3,0,0,5,1,0,2,1,2,29,1,18,2,1,0
"59","132891  2","01",0,"1328912",1,2,0,1,1,1,1,32,25,3,5,0,4,1,0,3,1,2,33,1,25,2,1,0
"60","234298  4","01",0,"2342984",1,2,0,1,1,1,1,20,20,3,0,0,4,1,0,3,1,2,21,1,20,2,1,0
"61","234267  1","01",16,"2342671",1,1,0,1,1,1,2,27,20,2,3,0,4,1,0,3,1,2,49,1,20,2,1,0
"62","234275  2","01",0,"2342752",0,2,0,1,1,1,1,19,17,3,0,3,5,1,0,2,0,2,25,1,17,0,0,0
"63","234261  2","01",5,"2342612",0,1,0,1,2,1,1,14,13,3,0,2,5,1,0,2,0,2,25,1,13,1,0,0
"64","234229  2","01",3,"2342292",0,2,0,1,5,2,2,25,21,3,24,0,5,1,0,3,1,2,30,1,21,2,1,0
"65","234288  2","01",5,"2342882",1,1,0,1,1,1,1,29,20,3,0,0,5,1,0,3,1,2,36,1,20,2,1,0
"66","234220  1","01",13,"2342201",0,2,0,1,5,2,1,17,17,3,0,0,4,1,0,3,1,2,36,1,17,2,1,0
"67","234233  4","01",6,"2342334",1,1,4,1,0,0,NA,NA,15,3,0,0,5,1,0,NA,1,2,24,1,15,2,1,1
"68","279016  1","01",11,"2790161",1,1,0,1,1,1,1,27,23,3,0,0,3,1,0,2,0,2,42,1,23,0,0,0
"69","279085  2","01",8,"2790852",0,2,0,1,2,1,1,20,19,2,1,0,5,1,0,3,0,2,32,1,19,0,0,0
"70","279024  2","01",2,"2790242",0,1,0,1,1,1,2,13,13,1,0,0,3,1,0,1,0,1,30,1,13,0,0,0
"71","279074  1","01",9,"2790741",0,2,0,1,5,2,1,18,19,2,0,0,5,1,0,1,1,2,32,1,19,2,1,0
"72","2790 7  1","01",9,"279071",1,1,0,1,0,0,NA,NA,24,3,5,0,4,1,0,NA,1,2,37,1,24,2,1,0
"73","277848  2","01",3,"2778482",1,2,0,1,2,1,2,18,17,3,2,0,3,1,0,2,0,2,26,1,17,0,0,0
"74","277870  1","01",3,"2778701",1,1,0,1,5,2,1,38,29,2,4,0,3,1,0,3,1,2,43,1,29,2,1,0
"75","277873  2","01",9,"2778732",0,1,4,1,2,1,2,21,19,2,0,0,2,1,0,2,0,2,33,1,19,1,0,1
"76","277831  2","01",5,"2778312",0,2,0,1,2,1,2,13,13,1,0,0,2,1,0,1,0,0,26,1,13,0,0,0
"77","277882  2","01",1,"2778822",1,1,0,1,2,1,2,14,14,1,2,0,3,1,0,1,0,2,19,1,14,0,0,0
"78","277829  1","01",10,"2778291",0,2,0,1,5,2,1,17,17,1,0,0,3,1,0,0,1,2,46,1,17,2,1,0
"79","084196  2","01",9,"0841962",0,1,0,1,2,1,1,18,18,1,3,0,4,1,0,3,1,2,41,1,18,2,1,0
"80","084187  2","01",5,"0841872",0,1,0,1,1,1,2,24,24,1,12,0,4,1,0,3,1,1,46,1,24,2,1,0
"81","084136  1","01",15,"0841361",0,1,0,1,5,2,1,27,27,3,1,0,4,1,0,2,1,2,49,1,27,2,1,0
"82","084191  3","01",15,"0841913",0,1,0,1,2,1,2,18,18,2,1,0,5,1,1,2,0,2,40,7,18,0,0,0
"83","084185  1","01",10,"0841851",0,1,0,1,5,2,2,17,16,1,2,0,2,1,0,8,1,1,41,1,16,2,1,0
"84","084129  2","01",1,"0841292",0,2,0,1,2,1,1,22,20,3,2,2,5,1,0,3,1,2,34,1,20,2,1,0
"85","311086  2","01",3,"3110862",1,2,0,1,4,2,1,30,18,3,60,0,5,1,1,3,1,2,33,1,18,2,1,0
"86","311031  2","01",15,"3110312",0,2,0,1,1,1,1,26,23,3,4,0,5,1,0,3,1,2,45,1,23,2,1,0
"87","032466  3","01",8,"0324663",0,1,0,1,5,2,1,12,12,2,0,0,5,1,0,2,0,2,31,1,12,1,0,0
"88","032413  2","01",2,"0324132",0,1,0,1,2,1,2,13,13,1,0,0,2,1,0,1,0,1,23,1,13,0,0,0
"89","032426  1","01",0,"0324261",0,1,0,1,2,1,1,19,19,2,1,0,4,1,0,2,1,2,37,1,19,2,1,0
"90","032424  1","01",0,"0324241",0,2,0,1,1,1,1,20,18,3,1,0,5,1,1,3,1,2,35,1,18,3,1,0
"91","032460  1","01",4,"0324601",0,1,0,1,2,1,2,16,16,3,0,0,5,1,0,3,1,2,33,1,16,2,1,0
"92","172075  2","01",14,"1720752",0,2,0,1,2,1,1,23,23,2,0,0,4,1,0,2,1,2,48,1,23,2,1,0
"93","172085  2","01",2,"1720852",0,1,0,1,0,0,NA,NA,15,2,1,0,4,1,0,NA,0,2,23,1,15,0,0,0
"94","172052  2","01",1,"1720522",0,2,0,1,2,1,1,17,17,3,0,0,2,1,0,2,0,2,24,1,17,0,0,0
"95","172048  2","01",3,"1720482",0,1,0,1,2,1,1,19,16,2,0,0,4,1,0,2,0,2,31,1,16,0,0,0
"96","172056  1","01",0,"1720561",1,1,0,1,5,2,1,20,19,2,4,0,4,1,0,3,0,2,23,1,19,0,0,0
"97","172083  1","01",12,"1720831",0,1,0,1,2,1,2,13,14,1,4,0,4,1,0,1,1,2,34,1,14,2,1,0
"98","172072  2","01",2,"1720722",0,2,0,1,2,1,2,14,14,2,5,0,4,1,0,1,0,2,25,1,14,0,0,0
"99","172036  1","01",12,"1720361",0,1,0,1,2,1,2,18,19,2,1,0,4,1,0,1,1,2,36,1,19,2,1,0
"100","172062  2","01",3,"1720622",0,1,0,1,2,1,2,14,14,2,0,0,3,1,0,2,0,2,26,1,14,1,0,0
"101","172020  2","01",3,"1720202",0,1,0,1,1,1,1,17,16,2,0,0,4,1,0,2,1,2,32,1,16,2,1,0
"102","172024  1","01",3,"1720241",0,1,0,1,3,2,2,12,12,2,8,0,3,1,0,2,1,2,28,1,12,2,1,0
"103","172057  2","01",1,"1720572",0,2,0,1,2,1,1,15,14,1,2,0,3,1,0,1,0,2,24,1,14,0,0,0
"104","215381  1","01",14,"2153811",0,2,0,1,2,1,1,28,17,2,0,0,5,1,0,1,0,2,49,1,17,0,0,0
"105","215355  2","01",13,"2153552",0,1,0,1,1,1,1,27,27,3,0,2,5,1,0,2,1,2,46,1,27,2,1,0
"106","215330  4","01",1,"2153304",1,2,0,1,0,0,NA,NA,17,2,1,0,4,1,0,NA,1,2,25,1,17,2,1,0
"107","215352  2","01",13,"2153522",0,2,0,1,2,1,1,28,16,1,0,0,2,1,0,2,1,2,48,1,16,2,1,0
"108","215331  1","01",9,"2153311",0,2,0,1,4,2,1,26,26,3,0,0,4,1,0,3,1,2,42,1,26,2,1,0
"109","215385  2","01",3,"2153852",0,1,0,1,2,1,2,16,16,3,1,0,4,1,0,1,1,2,31,1,16,2,1,0
"110","215389  1","01",10,"2153891",0,1,0,1,5,2,2,18,18,1,0,2,1,1,0,3,1,0,38,1,18,2,1,0
"111","215327  2","01",0,"2153272",0,2,0,1,2,1,2,18,18,2,20,0,5,1,0,2,1,2,32,1,18,2,1,0
"112","215327  3","01",2,"2153273",0,2,0,1,2,1,1,21,15,2,0,0,5,1,0,8,0,2,26,1,15,1,0,0
"113","215399  2","01",9,"2153992",0,2,0,1,2,1,2,16,16,1,0,0,2,1,0,8,0,1,39,1,16,0,0,0
"114","215367  2","01",0,"2153672",1,1,0,1,1,1,1,25,25,3,4,0,4,1,0,3,0,2,26,1,25,0,0,0
"115","215347  2","01",2,"2153472",0,1,0,1,2,1,2,17,20,2,2,0,4,1,0,1,1,2,38,1,20,2,1,0
"116","215343  3","01",10,"2153433",1,1,0,1,5,2,1,17,17,3,10,0,5,1,0,3,1,2,29,1,17,2,1,0
"117","215343  6","01",15,"2153436",0,2,0,1,5,2,2,18,18,3,6,1,5,1,0,1,1,2,47,7,18,2,1,0
"118","215368  3","01",4,"2153683",0,1,0,1,2,1,2,16,13,1,0,0,2,1,0,1,0,2,24,1,13,1,0,0
"119","086470  1","01",6,"0864701",1,1,0,1,5,2,1,21,18,1,0,0,3,1,0,8,0,2,41,1,18,0,0,0
"120","086458  1","01",10,"0864581",0,2,0,1,2,1,1,18,18,2,1,0,3,1,0,2,1,2,39,1,18,2,1,0
"121","086497  2","01",13,"0864972",0,1,0,1,1,1,1,20,20,2,0,0,3,1,0,1,1,2,46,1,20,2,1,0
"122","086497  5","01",2,"0864975",1,1,0,1,2,1,1,14,14,2,0,0,3,1,0,2,0,2,18,1,14,1,0,0
"123","086478  2","01",4,"0864782",0,2,0,1,2,1,1,14,14,3,0,0,3,1,0,3,1,2,30,1,14,2,1,0
"124","086453  1","01",0,"0864531",0,1,0,1,5,2,2,14,14,2,4,0,2,1,0,2,0,2,26,1,14,1,0,0
"125","086494  1","01",11,"0864941",1,2,0,1,5,2,2,17,17,1,0,2,2,1,0,3,1,2,31,1,17,2,1,0
"126","086410  2","01",0,"0864102",1,1,0,1,2,1,1,16,15,1,7,0,1,1,0,8,0,2,17,1,15,0,0,0
"127","086496  1","01",10,"0864961",0,1,0,1,2,1,2,15,15,1,0,0,2,1,0,2,0,2,28,1,15,0,0,0
"128","086467  2","01",4,"0864672",0,1,0,1,2,1,1,18,17,1,1,0,2,1,0,3,0,2,24,1,17,0,0,0
"129","086495  2","01",6,"0864952",0,2,0,1,1,1,1,18,17,1,0,0,3,1,0,1,0,2,38,1,17,0,0,0
"130","1165 8  4","01",2,"116584",1,2,0,1,5,2,1,18,15,2,20,0,4,1,0,3,0,2,20,1,15,1,0,0
"131","116512  1","01",7,"1165121",0,2,0,1,2,1,1,18,18,3,30,0,5,1,0,NA,1,2,35,1,18,2,1,0
"132","116511  2","01",3,"1165112",0,1,0,1,5,2,2,18,15,1,0,2,4,1,0,2,1,2,40,1,15,2,1,0
"133","116535  1","01",15,"1165351",0,2,0,1,3,2,1,25,19,2,1,0,5,1,0,1,1,2,48,1,19,2,1,0
"134","116586  2","01",2,"1165862",1,1,0,1,0,0,NA,NA,15,3,10,0,5,1,0,NA,0,2,22,1,15,0,0,0
"135","116588  2","01",15,"1165882",0,2,4,1,2,1,2,22,21,2,6,0,5,1,0,2,0,2,45,1,21,0,0,1
"136","116596  2","01",2,"1165962",0,2,0,1,1,1,1,21,15,3,0,0,5,1,0,3,0,2,33,1,15,1,0,0
"137","116571  2","01",4,"1165712",1,1,0,1,2,1,1,34,25,2,0,0,3,1,0,2,1,2,39,1,25,2,1,0
"138","303888  3","01",0,"3038883",1,1,0,1,5,2,1,22,15,2,30,0,2,1,0,3,1,2,26,1,15,2,1,0
"139","303823  2","01",1,"3038232",1,1,0,1,2,1,1,16,15,2,0,0,2,1,0,0,0,2,17,1,15,0,0,0
"140","303833  2","01",4,"3038332",1,1,0,1,5,2,NA,26,24,3,0,0,3,1,0,3,1,2,33,1,24,2,1,0
"141","303834  2","01",16,"3038342",0,2,0,1,2,1,2,15,15,1,0,2,3,1,0,1,1,2,37,1,15,2,1,0
"142","303891  2","01",1,"3038912",0,1,0,1,5,2,1,20,12,1,1,0,2,1,0,1,0,2,22,1,12,0,0,0
"143","303843  1","01",10,"3038431",0,1,0,1,3,2,2,15,15,1,NA,1,3,1,NA,2,0,0,47,1,15,0,0,0
"144","303843  2","01",2,"3038432",1,2,0,1,0,0,NA,NA,15,1,0,0,3,1,0,NA,0,2,21,1,15,0,0,0
"145","303822  2","01",3,"3038222",0,2,0,1,2,1,2,23,15,1,1,0,1,1,0,1,0,2,28,1,15,0,0,0
"146","303889  3","01",0,"3038893",1,2,0,1,5,2,2,13,13,1,0,0,2,1,0,2,0,2,19,1,13,0,0,0
"147","303827  2","01",3,"3038272",1,1,0,1,2,1,1,15,14,2,0,0,2,1,0,2,0,2,19,1,14,0,0,0
"148","230299  1","01",5,"2302991",0,1,0,1,2,1,2,18,19,1,0,2,2,1,0,1,0,0,36,1,19,1,0,0
"149","230223  2","01",3,"2302232",0,1,0,1,0,0,NA,NA,15,1,0,0,2,1,0,NA,1,2,27,1,15,2,1,0
"150","230297  4","01",1,"2302974",0,1,4,1,2,1,2,17,17,1,0,0,2,1,0,1,1,3,21,1,17,2,1,1
"151","230297  5","01",0,"2302975",1,1,0,1,2,1,1,15,18,2,0,0,2,1,0,2,0,2,19,1,18,0,0,0
"152","230262  1","01",3,"2302621",0,2,0,1,1,1,1,23,19,0,0,1,1,1,1,0,1,3,33,1,19,2,1,0
"153","230280  1","01",2,"2302801",0,2,0,1,5,2,1,11,19,2,0,0,3,1,0,2,0,2,31,1,19,1,0,0
"154","2302 8  1","01",4,"230281",0,2,0,1,5,2,2,17,13,1,0,2,1,1,0,2,1,1,33,1,13,2,1,0
"155","230220  2","01",6,"2302202",0,2,0,1,2,1,2,16,16,1,0,0,2,1,0,8,1,2,29,1,16,2,1,0
"156","230214  2","01",9,"2302142",0,1,0,1,2,1,2,13,13,1,0,2,2,1,0,1,0,2,37,1,13,0,0,0
"157","230237  5","01",3,"2302375",0,1,0,1,2,1,2,14,15,1,0,0,4,1,0,2,0,4,32,1,15,1,0,0
"158","230285  2","01",0,"2302852",0,2,0,1,2,1,1,15,15,2,0,0,3,1,0,2,0,2,23,1,15,0,0,0
"159","230287  4","01",1,"2302874",0,1,0,1,2,1,1,17,16,1,1,0,2,1,0,1,0,2,24,7,16,1,0,0
"160","287358  1","01",10,"2873581",0,2,0,1,5,2,1,26,20,2,0,1,2,1,0,1,0,2,41,1,20,1,0,0
"161","287380  2","01",2,"2873802",0,1,0,1,1,1,1,25,25,3,0,0,5,1,1,1,1,2,43,1,25,2,1,0
"162","287321  2","01",14,"2873212",0,1,0,1,2,1,1,14,14,1,0,2,3,1,0,1,1,2,38,1,14,2,1,0
"163","287321  5","01",0,"2873215",1,1,0,1,2,1,1,17,17,2,3,0,3,1,0,2,0,2,19,1,17,0,0,0
"164","287338  1","01",12,"2873381",0,2,0,1,2,1,1,15,15,3,0,2,1,1,0,2,1,2,34,1,15,2,1,0
"165","287336  2","01",4,"2873362",0,2,0,1,2,1,1,20,20,3,0,2,2,1,0,1,1,2,33,1,20,2,1,0
"166","2873 4  2","01",0,"287342",0,2,0,1,2,1,1,16,18,3,1,2,2,1,0,1,0,2,27,1,18,0,0,0
"167","287353  2","01",2,"2873532",0,2,0,1,2,1,1,18,19,1,0,0,1,1,0,2,0,2,24,1,19,0,0,0
"168","2873 7 13","01",10,"2873713",1,1,0,1,1,1,1,22,20,3,0,0,3,1,0,1,1,2,41,1,20,2,1,0
"169","287376  2","01",1,"2873762",0,2,0,1,1,1,1,14,13,2,0,1,1,1,0,1,0,2,29,1,13,0,0,0
"170","287387  2","01",10,"2873872",0,2,0,1,1,1,1,14,13,1,0,1,2,1,0,2,1,2,34,1,13,2,1,0
"171","2873 5  7","01",3,"287357",0,1,0,1,2,1,1,19,19,2,0,0,3,1,0,2,0,2,28,1,19,0,0,0
"172","2873 5  8","01",3,"287358",1,2,0,1,0,0,NA,NA,15,1,0,0,3,1,0,NA,0,2,19,1,15,0,0,0
"173","287331  2","01",2,"2873312",0,2,0,1,2,1,1,13,13,1,1,2,1,1,0,1,0,2,27,1,13,0,0,0
"174","287326  2","01",8,"2873262",0,2,0,1,2,1,2,18,15,2,10,2,3,1,0,1,1,2,28,1,15,2,1,0
"175","082390  1","01",9,"0823901",0,2,0,1,3,2,2,34,17,1,1,1,2,1,0,1,0,1,48,1,17,0,0,0
"176","082329  1","01",0,"0823291",1,2,0,1,2,1,1,15,14,1,2,0,1,1,0,2,0,1,16,1,14,0,0,0
"177","082362  2","01",2,"0823622",1,2,0,1,2,1,1,13,14,1,0,0,1,1,0,1,1,2,17,1,14,2,1,0
"178","082359  2","01",3,"0823592",0,2,0,1,2,1,2,17,17,3,0,0,3,1,0,2,1,2,25,1,17,2,1,0
"179","082327  2","01",9,"0823272",0,1,0,1,2,1,1,19,97,1,3,2,3,1,0,8,1,2,34,1,NA,2,1,0
"180","082352  2","01",0,"0823522",0,1,0,1,2,1,1,14,15,2,0,0,3,1,0,1,1,2,23,1,15,2,1,0
"181","082314  2","01",0,"0823142",1,1,0,1,5,2,1,15,15,2,6,0,1,1,0,8,0,2,17,1,15,0,0,0
"182","082391  2","01",12,"0823912",0,1,0,1,2,1,2,18,15,1,0,2,3,1,0,3,0,1,39,1,15,0,0,0
"183","0823 8  2","01",5,"082382",1,2,0,1,2,1,1,21,19,1,3,0,5,1,0,2,1,1,25,1,19,2,1,0
"184","0823 8  3","01",0,"082383",0,2,0,1,5,2,1,14,14,1,2,0,5,1,0,2,0,1,21,7,14,0,0,0
"185","082331  3","01",2,"0823313",1,1,0,1,5,2,1,17,17,2,20,2,2,1,0,2,0,2,20,1,17,0,0,0
"186","082337  2","01",5,"0823372",0,2,0,1,2,1,1,15,14,1,0,0,3,1,0,1,0,1,25,1,14,1,0,0
"187","233537  2","01",7,"2335372",0,2,0,1,2,1,1,21,17,3,1,0,2,1,0,1,0,2,35,1,17,0,0,0
"188","233533  2","01",3,"2335332",1,1,0,1,1,1,1,21,21,3,1,0,4,1,0,2,1,2,25,1,21,2,1,0
"189","233589  2","01",12,"2335892",0,1,0,1,2,1,1,17,18,2,0,0,4,1,0,1,1,2,36,1,18,2,1,0
"190","233518  1","01",4,"2335181",0,1,4,1,2,1,2,13,13,1,0,1,3,1,0,2,0,2,38,1,13,0,0,1
"191","233549  2","01",2,"2335492",0,2,0,1,1,1,1,28,27,3,3,2,3,1,0,1,1,2,37,1,27,2,1,0
"192","233555  1","01",0,"2335551",0,1,0,1,5,2,2,18,15,2,0,0,2,1,0,3,1,2,24,1,15,2,1,0
"193","233555  2","01",1,"2335552",1,1,0,1,5,2,1,17,18,1,10,0,2,1,0,2,0,2,21,1,18,1,0,0
"194","233532  2","01",3,"2335322",0,2,0,1,2,1,1,20,20,2,0,0,2,1,0,2,0,2,34,1,20,0,0,0
"195","233543  2","01",9,"2335432",0,2,0,1,2,1,1,32,97,0,0,2,2,1,0,0,0,0,48,1,NA,0,0,0
"196","233568  2","01",0,"2335682",0,1,0,1,2,1,2,22,19,2,0,0,2,1,0,2,0,2,28,1,19,1,0,0
"197","233559  2","01",1,"2335592",0,1,0,1,2,1,2,16,16,2,8,0,2,1,0,2,0,2,27,1,16,0,0,0
"198","2335 8  2","01",4,"233582",0,1,0,1,2,1,1,14,19,2,0,0,2,1,0,1,0,2,31,1,19,1,0,0
"199","233534  2","01",5,"2335342",0,1,0,1,2,1,2,14,18,3,0,0,5,1,0,2,0,2,35,1,18,0,0,0
"200","219437  1","01",12,"2194371",0,1,0,1,5,2,2,17,17,1,1,0,4,1,0,8,1,2,45,1,17,2,1,0
"201","219437  2","01",0,"2194372",1,1,0,1,5,2,1,15,14,1,0,0,4,1,0,1,0,2,16,1,14,0,0,0
"202","219465  2","01",2,"2194652",0,1,0,1,2,1,2,18,18,3,48,0,4,1,0,3,0,2,35,1,18,1,0,0
"203","219424  1","01",15,"2194241",0,1,0,1,1,1,2,24,20,3,4,2,4,1,0,2,1,2,47,1,20,2,1,0
"204","219483  1","01",8,"2194831",0,2,0,1,2,1,2,15,14,2,0,2,1,1,0,2,1,2,38,1,14,2,1,0
"205","219420  2","01",6,"2194202",0,1,0,1,2,1,1,22,20,3,0,0,3,1,0,3,0,2,33,1,20,0,0,0
"206","219440  1","01",6,"2194401",0,2,0,1,5,2,1,24,16,3,7,0,5,1,0,3,1,2,30,1,16,2,1,0
"207","219429  1","01",2,"2194291",1,2,0,1,2,1,1,15,13,2,1,0,2,1,0,1,1,2,20,1,13,2,1,0
"208","219442  2","01",2,"2194422",0,2,0,1,2,1,1,17,13,2,0,0,1,1,0,1,0,2,25,1,13,1,0,0
"209","219486  1","01",1,"2194861",0,1,0,1,2,1,1,17,17,1,0,0,2,1,0,1,0,2,22,1,17,0,0,0
"210","219411  2","01",15,"2194112",0,2,0,1,2,1,1,17,15,1,0,2,1,1,0,0,0,0,37,1,15,0,0,0
"211","219479  2","01",6,"2194792",0,2,0,1,1,1,1,23,23,3,1,0,5,1,1,3,1,2,36,1,23,2,1,0
"212","061248  1","01",0,"0612481",0,2,0,1,2,1,2,16,16,2,2,0,1,1,0,1,0,2,30,1,16,0,0,0
