"","caseid","child_id","age_child","mother_id","first_born","sex_child","child_residence","child_alive","marital_status","union_status","num_union_status","age_cohabitation","first_sex","edu_level_mother","num_trips","owner_house","wealth_index","type_residence","traveled_12","partners_education","currently_working","literacy","current_age_respondent","type_dejure_residence","age_first_sex","worked_12_temp","worked_12","child_foster"
"4980","271449  2","02",2,"2714492",0,1,0,1,2,1,1,22,18,2,1,3,1,2,0,2,1,2,26,2,18,2,1,0
"4981","271427  1","02",9,"2714271",0,1,0,1,2,1,2,12,12,1,0,1,1,2,0,1,1,0,30,2,12,2,1,0
"4982","053072  1","02",4,"0530721",0,1,0,1,2,1,1,13,14,3,0,0,1,2,0,0,0,2,23,2,14,0,0,0
"4983","053097  2","02",11,"0530972",0,2,0,1,1,1,1,20,20,2,0,2,1,2,0,1,0,2,43,2,20,0,0,0
"4984","0530 4  2","02",6,"053042",0,1,0,1,2,1,2,14,14,2,0,2,1,2,0,1,1,2,32,2,14,2,1,0
"4985","053012  2","02",9,"0530122",0,2,4,1,2,1,2,19,18,1,0,0,1,2,0,1,0,2,37,2,18,0,0,1
"4986","0530 6  2","02",7,"053062",0,1,0,1,2,1,1,18,18,2,0,0,1,2,0,2,0,2,28,2,18,0,0,0
"4987","053034  1","02",13,"0530341",0,1,0,1,4,2,1,14,15,1,0,1,1,2,0,1,1,2,41,2,15,2,1,0
"4988","053062  2","02",1,"0530622",0,1,0,1,2,1,1,16,15,1,1,0,1,2,1,1,0,3,30,2,15,0,0,0
"4989","105680  2","02",15,"1056802",1,2,0,1,2,1,2,17,17,1,0,2,4,1,0,2,1,2,36,1,17,2,1,0
"4990","105698  1","02",16,"1056981",0,1,0,1,3,2,2,21,21,1,4,1,1,1,0,0,0,2,47,1,21,1,0,0
"4991","105616  2","02",7,"1056162",1,1,0,1,2,1,1,19,19,2,0,2,2,1,0,2,0,2,27,1,19,0,0,0
"4992","105685  2","02",10,"1056852",0,2,0,1,2,1,2,12,13,1,0,0,3,1,0,2,1,2,33,1,13,2,1,0
"4993","105649  2","02",15,"1056492",0,1,0,1,2,1,2,15,15,1,4,0,3,1,0,2,1,2,34,1,15,2,1,0
"4994","105645  2","02",9,"1056452",1,1,0,1,2,1,1,20,14,3,0,0,4,1,0,2,1,2,30,1,14,2,1,0
"4995","105699  2","02",15,"1056992",0,1,4,1,2,1,2,14,9,1,3,0,2,1,0,1,0,2,39,1,9,0,0,1
"4996","270427  4","02",7,"2704274",1,2,0,1,2,1,2,21,18,3,50,1,4,1,0,1,1,2,30,7,18,2,1,0
"4997","2704 7  1","02",10,"270471",0,1,4,1,2,1,2,12,12,1,20,1,3,1,0,2,1,0,29,1,12,2,1,1
"4998","270436  1","02",16,"2704361",0,1,0,1,1,1,2,14,14,3,3,1,4,1,0,3,1,2,35,1,14,2,1,0
"4999","090661  2","02",8,"0906612",0,2,0,1,2,1,1,16,16,2,0,2,4,1,0,2,0,2,29,1,16,0,0,0
"5000","0906 6  2","02",10,"090662",0,2,0,1,2,1,1,26,25,2,1,2,4,1,0,2,1,2,41,1,25,2,1,0
"5001","090662  2","02",11,"0906622",1,1,0,1,2,1,1,20,20,2,2,0,3,1,0,3,1,2,32,1,20,2,1,0
"5002","139034  1","02",12,"1390341",0,1,0,1,5,2,1,16,16,1,0,0,3,1,0,2,1,2,42,1,16,2,1,0
"5003","139089  2","02",9,"1390892",0,2,0,1,1,1,1,13,12,2,6,2,4,1,0,2,1,2,31,1,12,2,1,0
"5004","139060  2","02",10,"1390602",1,1,0,1,5,2,1,17,17,1,5,0,2,1,0,8,0,1,29,1,17,0,0,0
"5005","276680  2","02",7,"2766802",0,2,0,1,2,1,1,17,17,1,0,0,3,1,0,2,1,2,31,1,17,2,1,0
"5006","276680  6","02",9,"2766806",1,1,4,1,5,2,1,15,15,1,1,0,3,1,0,2,0,2,25,1,15,1,0,1
"5007","276621  1","02",14,"2766211",0,1,0,1,5,2,2,17,17,1,4,0,2,1,0,8,0,2,45,1,17,1,0,0
"5008","2805 3  2","02",15,"280532",0,2,0,1,2,1,2,16,15,1,0,2,1,2,0,1,1,2,38,2,15,2,1,0
"5009","280540  2","02",8,"2805402",0,2,4,1,2,1,2,15,15,1,2,0,1,2,0,2,0,2,31,2,15,0,0,1
"5010","280555  2","02",14,"2805552",0,1,0,1,2,1,1,17,17,1,1,2,1,2,0,1,1,1,35,2,17,2,1,0
"5011","280579  1","02",8,"2805791",0,2,0,1,5,2,2,13,13,1,0,1,1,2,0,0,1,0,33,2,13,2,1,0
"5012","2805 9  4","02",5,"280594",0,2,4,1,1,1,1,24,19,1,1,0,3,2,0,2,0,2,38,2,19,0,0,1
"5013","1752 7  1","02",16,"175271",0,1,0,1,5,2,2,14,14,1,6,1,2,2,0,2,0,2,42,2,14,0,0,0
"5014","175298  2","02",10,"1752982",0,2,0,1,2,1,2,14,14,1,3,0,3,2,0,1,0,2,33,2,14,0,0,0
"5015","175245  3","02",2,"1752453",1,1,0,1,5,2,1,14,13,1,0,0,1,2,0,1,0,2,17,2,13,0,0,0
"5016","175254  2","02",7,"1752542",0,1,0,1,2,1,2,16,15,1,0,2,1,2,0,1,1,0,40,2,15,2,1,0
"5017","175266  2","02",6,"1752662",1,2,0,1,1,1,1,17,17,3,2,1,2,2,0,2,1,2,26,2,17,3,1,0
"5018","103824  2","02",5,"1038242",1,1,0,1,2,1,1,20,20,3,5,0,1,2,0,2,1,2,27,2,20,2,1,0
"5019","103879  2","02",10,"1038792",0,1,0,1,2,1,1,13,15,1,0,2,1,2,0,1,1,2,36,2,15,2,1,0
"5020","103841  2","02",16,"1038412",0,2,0,1,2,1,1,17,17,1,1,2,2,2,0,1,0,2,41,2,17,1,0,0
"5021","103830  2","02",8,"1038302",0,2,0,1,2,1,2,17,17,2,2,2,5,2,0,2,1,2,33,2,17,2,1,0
"5022","103811  1","02",6,"1038111",1,1,0,1,5,2,1,14,15,3,4,2,3,2,0,1,1,2,23,2,15,2,1,0
"5023","107794  1","02",13,"1077941",0,1,0,1,5,2,1,16,16,1,0,0,5,1,0,1,0,2,34,1,16,0,0,0
"5024","107781  1","02",8,"1077811",1,2,0,1,2,1,2,25,25,1,0,1,5,1,0,1,0,2,34,1,25,0,0,0
"5025","132421  2","02",13,"1324212",0,2,0,1,1,1,2,14,12,2,0,0,5,1,0,3,0,2,34,1,12,1,0,0
"5026","132433  2","02",6,"1324332",0,1,0,1,2,1,2,25,25,3,0,1,3,1,0,1,0,2,45,1,25,0,0,0
"5027","1324 8  2","02",11,"132482",1,1,0,1,5,2,1,21,13,2,0,0,5,1,0,2,0,2,26,1,13,0,0,0
"5028","132450  1","02",13,"1324501",0,2,0,1,1,1,1,24,17,3,2,1,5,1,0,1,1,2,40,1,17,2,1,0
"5029","132413  2","02",11,"1324132",1,2,0,1,2,1,1,21,19,3,5,1,4,1,0,2,0,2,34,1,19,0,0,0
"5030","0458 6  3","02",5,"045863",1,1,0,1,2,1,2,17,17,3,48,0,3,1,0,1,1,2,25,1,17,2,1,0
"5031","045840  1","02",11,"0458401",0,2,0,1,1,1,2,18,16,1,0,0,2,1,0,1,1,2,40,1,16,2,1,0
"5032","045817  1","02",14,"0458171",0,1,4,1,5,2,1,16,13,1,2,2,4,1,0,8,0,2,43,1,13,0,0,1
"5033","045867  2","02",16,"0458672",0,2,0,1,2,1,1,21,21,1,0,0,3,1,0,1,0,2,39,1,21,0,0,0
"5034","045870  1","02",15,"0458701",0,2,0,1,5,2,1,17,15,1,0,0,4,1,0,3,1,2,44,1,15,2,1,0
"5035","045853  2","02",6,"0458532",0,1,0,1,2,1,2,16,16,3,0,0,3,1,0,1,1,2,31,1,16,2,1,0
"5036","045857  2","02",4,"0458572",0,2,0,1,1,1,1,26,26,3,0,0,3,1,0,2,1,2,35,1,26,2,1,0
